id,name,email,job_title,department_id,manager_id,hire_date
emp_30,Hailey Robinson,hailey.robinson@rodriguez.com,Senior Product Manager,dept_7,emp_8,2009-10-30
emp_31,Mark Tate,mark.tate@rodriguez.com,Senior Financial Analyst,dept_4,emp_5,2010-04-27
emp_32,Brian Underwood,brian.underwood@rodriguez.com,Account Executive,dept_1,emp_11,2008-06-21
emp_33,Linda Morales,linda.morales@rodriguez.com,Marketing Specialist,dept_3,emp_13,2007-02-15
emp_34,Carl Gentry,carl.gentry@rodriguez.com,Customer Success Manager,dept_6,emp_21,2009-03-30
emp_35,Ashley Robbins,ashley.robbins@rodriguez.com,Senior Account Executive,dept_1,emp_2,2009-05-15
emp_36,Jason Porter,jason.porter@rodriguez.com,Senior Marketing Manager,dept_3,emp_4,2008-08-21
emp_37,Nicole Day,nicole.day@rodriguez.com,Customer Success Manager,dept_6,emp_21,2007-11-17
emp_38,Douglas Taylor,douglas.taylor@rodriguez.com,Marketing Specialist,dept_3,emp_10,2009-08-06
emp_39,Julie Ryan,julie.ryan@rodriguez.com,Account Executive,dept_1,emp_11,2010-08-31
emp_40,Julie Patterson,julie.patterson@rodriguez.com,Customer Success Manager,dept_6,emp_21,2008-04-06
emp_41,Brandy Cox,brandy.cox@rodriguez.com,Product Analyst,dept_7,emp_8,2009-05-06
emp_42,Wendy Taylor,wendy.taylor@rodriguez.com,Financial Analyst,dept_4,emp_24,2009-04-21
emp_43,Trevor Campos,trevor.campos@rodriguez.com,Senior CS Manager,dept_6,emp_7,2005-08-28
emp_44,Michelle Hernandez,michelle.hernandez@rodriguez.com,Financial Analyst,dept_4,emp_5,2007-03-10
emp_45,Ernest Becker,ernest.becker@rodriguez.com,Financial Analyst,dept_4,emp_5,2006-04-22
emp_46,Candace Cruz,candace.cruz@rodriguez.com,Software Engineer,dept_2,emp_17,2008-04-30
emp_47,Caitlin Mcdonald,caitlin.mcdonald@rodriguez.com,Software Engineer,dept_2,emp_3,2008-07-04
emp_48,John Tran,john.tran@rodriguez.com,Marketing Specialist,dept_3,emp_10,2008-09-19
emp_49,Sherri Frazier,sherri.frazier@rodriguez.com,Account Executive,dept_1,emp_2,2011-02-24
emp_50,Danny Dyer,danny.dyer@rodriguez.com,Senior HR Business Partner,dept_5,emp_6,2005-12-29
emp_51,Karen Mack,karen.mack@rodriguez.com,Software Engineer,dept_2,emp_18,2005-12-04
emp_52,Matthew Carter,matthew.carter@rodriguez.com,Senior HR Business Partner,dept_5,emp_6,2009-12-07
emp_53,Eric Smith,eric.smith@rodriguez.com,Marketing Specialist,dept_3,emp_36,2006-01-29
emp_54,Jennifer Cortez,jennifer.cortez@rodriguez.com,Senior Account Executive,dept_1,emp_2,2011-02-11
